Brand,Size,Description,units_sold,revenue,cogs,gross_profit,net_profit,gross_margin_pct,net_margin_pct
1771,50mL,Jack Daniels Tennessee Fire,23639,70680.61,17729.25,52951.36,51723.73,74.92,73.18
37541,750mL,Frogs Leap Cab Svgn Napa,902,47277.98,17291.34,29986.64,29886.78,63.43,63.22
22625,750mL,True Myth Cab,1858,31105.92,11501.02,19604.9,19397.94,63.03,62.36
4858,50mL,Kraken Black Spiced Rum,18351,36518.49,13029.21,23489.28,22539.31,64.32,61.72
23415,750mL,Darkhorse Svgn Bl,2231,17671.69,6581.45,11090.24,10841.5,62.76,61.35
23522,750mL,13 Celsius Svgn Bl,3137,34041.23,12893.07,21148.16,20798.61,62.13,61.1
17611,750mL,True Myth Chard,1442,18664.58,7527.24,11137.34,10976.98,59.67,58.81
23153,750mL,Butternut Pnt Nr Cal,1432,20259.68,8620.64,11639.04,11480.13,57.45,56.66
31070,750mL,Treana Red Calif,997,29928.03,12941.06,16986.97,16876.14,56.76,56.39
5708,50mL,Dr McGillicuddy's Root Beer,60074,59473.26,22828.12,36645.14,33504.03,61.62,56.33
